Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,Rating,Location,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Order Accuracy
ORD000014,CUST4582,JioMart,19:29.5,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes,2.6,Delhi,Negative,Low,Yes,Out of Stock,Incorrect
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No,3.6,Jaipur,Negative,Low,Yes,Out of Stock,Incorrect
ORD003650,CUST6615,Blinkit,11:29.5,20,Fruits & Vegetables,56,Packaging could be better.,3,No,No,1.7,Bangalore,Positive,Low,Yes,In Stock,Correct
ORD000017,CUST1434,Swiggy Instamart,58:29.5,41,Beverages,956,"Not fresh, disappointed.",2,Yes,Yes,3.8,Pune,Neutral,Medium,Yes,In Stock,Correct
ORD000018,CUST4257,Swiggy Instamart,23:29.5,27,Beverages,161,Excellent experience!,5,No,No,2,Mumbai,Positive,Low,No,Out of Stock,Correct
ORD000019,CUST9928,Swiggy Instamart,15:29.5,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes,4.7,Kolkata,Negative,Low,Yes,Out of Stock,Incorrect
ORD000020,CUST7873,Swiggy Instamart,20:29.5,26,Beverages,677,Quick and reliable!,5,No,No,3.6,Hyderabad,Negative,Medium,Yes,In Stock,Correct
ORD001918,CUST8531,Blinkit,53:29.5,30,Fruits & Vegetables,58,Delivery person was rude.,2,No,Yes,3.3,Delhi,Negative,Medium,No,Out of Stock,Correct
ORD000476,CUST3184,Blinkit,34:29.5,39,Snacks,60,Wrong item delivered.,1,No,Yes,2.9,Ahmedabad,Negative,Medium,Yes,In Stock,Incorrect
ORD000023,CUST5557,Swiggy Instamart,01:29.5,33,Beverages,486,Good quality products.,4,No,No,1.9,Jaipur,Neutral,Low,Yes,Out of Stock,Incorrect
ORD000024,CUST1106,Swiggy Instamart,27:29.5,20,Beverages,202,Packaging could be better.,3,No,No,2.2,Hyderabad,Positive,Low,Yes,In Stock,Correct
ORD001274,CUST1126,Blinkit,54:29.5,35,Fruits & Vegetables,69,"Fast delivery, great service!",5,No,No,5,Bangalore,Positive,High,Yes,In Stock,Correct
ORD004723,CUST5973,Blinkit,22:29.5,33,Snacks,69,Wrong item delivered.,1,No,Yes,4.6,Mumbai,Positive,Low,No,Out of Stock,Correct
ORD004071,CUST5127,Blinkit,52:29.5,37,Snacks,72,Very satisfied with the service.,5,No,No,4.4,Lucknow,Negative,Low,No,Out of Stock,Incorrect
ORD000028,CUST5552,JioMart,56:29.5,20,Dairy,334,Wrong item delivered.,1,No,Yes,4.8,Delhi,Positive,Low,No,Out of Stock,Correct
ORD000029,CUST3547,JioMart,57:29.5,32,Dairy,563,"Horrible experience, never ordering again.",1,No,Yes,2.2,Bangalore,Negative,Medium,No,In Stock,Correct
ORD000030,CUST4527,JioMart,53:29.5,19,Grocery,1333,"Easy to order, loved it!",5,No,No,2.4,Lucknow,Positive,High,Yes,In Stock,Correct
ORD000031,CUST6514,Swiggy Instamart,08:29.5,8,Beverages,757,Excellent experience!,5,No,No,3.8,Ahmedabad,Negative,Medium,No,In Stock,Incorrect
ORD000032,CUST2674,JioMart,23:29.5,25,Personal Care,1651,Packaging could be better.,3,No,No,1.5,Chennai,Negative,High,No,Out of Stock,Correct
ORD000033,CUST2519,Swiggy Instamart,08:29.5,24,Dairy,290,Quick and reliable!,5,No,No,1.6,Pune,Negative,Low,Yes,In Stock,Correct
ORD000034,CUST7224,Swiggy Instamart,28:29.5,33,Personal Care,697,"Fast delivery, great service!",5,No,No,4.7,Lucknow,Positive,Medium,No,Out of Stock,Correct
ORD000035,CUST2584,JioMart,31:29.5,41,Personal Care,668,"Fast delivery, great service!",5,Yes,No,1.8,Chennai,Positive,Medium,Yes,Out of Stock,Incorrect
ORD000036,CUST6881,Swiggy Instamart,50:29.5,31,Fruits & Vegetables,582,Quick and reliable!,5,No,No,2.4,Delhi,Positive,Medium,Yes,Out of Stock,Correct
ORD000037,CUST6635,JioMart,01:29.5,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No,3.4,Delhi,Neutral,Low,No,In Stock,Incorrect
ORD000038,CUST5333,JioMart,41:29.5,21,Snacks,402,Wrong item delivered.,1,No,Yes,2.4,Jaipur,Positive,Low,No,In Stock,Correct
ORD000152,CUST3103,Blinkit,25:29.5,21,Personal Care,1929,Packaging could be better.,3,No,No,3.1,Mumbai,Negative,Medium,No,In Stock,Correct
ORD000040,CUST8527,JioMart,11:29.5,36,Dairy,632,Quick and reliable!,5,No,No,3.1,Hyderabad,Negative,Medium,No,In Stock,Correct
ORD000041,CUST9785,Blinkit,46:29.5,21,Fruits & Vegetables,516,Wrong item delivered.,1,No,Yes,4.3,Pune,Neutral,Medium,No,Out of Stock,Correct
ORD000042,CUST3045,JioMart,11:29.5,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes,2.3,Ahmedabad,Positive,Low,Yes,In Stock,Incorrect
ORD000043,CUST7201,JioMart,37:29.5,21,Snacks,124,Delivery person was rude.,2,No,Yes,4.3,Lucknow,Neutral,Low,Yes,Out of Stock,Incorrect
ORD004787,CUST2477,Blinkit,01:29.5,12,Personal Care,1921,"Easy to order, loved it!",5,No,No,1.9,Delhi,Negative,High,No,Out of Stock,Correct
ORD002977,CUST2129,Blinkit,05:29.5,23,Personal Care,1889,Quick and reliable!,5,No,No,2.3,Chennai,Negative,Low,Yes,In Stock,Incorrect
ORD000046,CUST6925,JioMart,14:29.5,34,Snacks,174,Excellent experience!,5,No,No,2.6,Ahmedabad,Neutral,Low,Yes,In Stock,Correct
ORD000047,CUST4150,Swiggy Instamart,43:29.5,46,Snacks,320,"Horrible experience, never ordering again.",1,Yes,Yes,3.6,Lucknow,Positive,Low,Yes,In Stock,Incorrect
ORD001415,CUST6928,Blinkit,38:29.5,25,Personal Care,1888,"Easy to order, loved it!",5,No,No,4,Mumbai,Negative,Low,Yes,In Stock,Correct
ORD000049,CUST1750,Swiggy Instamart,32:29.5,26,Snacks,53,"Fast delivery, great service!",5,No,No,2.6,Hyderabad,Positive,Low,No,In Stock,Correct
ORD000050,CUST4733,Swiggy Instamart,59:29.5,29,Personal Care,916,Wrong item delivered.,1,No,Yes,2.8,Kolkata,Negative,Medium,Yes,In Stock,Incorrect
ORD000051,CUST5741,Swiggy Instamart,04:29.5,13,Dairy,289,Quick and reliable!,5,No,No,3.7,Chennai,Negative,Low,No,In Stock,Incorrect
ORD004524,CUST2964,Blinkit,58:29.5,39,Personal Care,1857,Items missing from order.,2,No,Yes,4.2,Lucknow,Positive,Medium,Yes,In Stock,Correct
ORD000053,CUST4814,Swiggy Instamart,22:29.5,31,Beverages,917,Quick and reliable!,5,No,No,3.6,Hyderabad,Neutral,Medium,No,Out of Stock,Incorrect
ORD000054,CUST2654,Blinkit,29:29.5,20,Fruits & Vegetables,424,"Not fresh, disappointed.",2,No,Yes,3.4,Jaipur,Neutral,Low,Yes,In Stock,Incorrect
ORD000055,CUST7227,Swiggy Instamart,43:29.5,51,Beverages,167,"Very late delivery, not happy.",2,Yes,Yes,4.6,Kolkata,Negative,Low,Yes,Out of Stock,Incorrect
ORD000056,CUST5554,JioMart,08:29.5,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No,3,Hyderabad,Positive,Medium,Yes,Out of Stock,Correct
ORD000057,CUST8428,JioMart,12:29.5,28,Personal Care,817,Good quality products.,4,No,No,3.9,Jaipur,Positive,Medium,No,In Stock,Correct
ORD004463,CUST3867,Blinkit,24:29.5,29,Snacks,81,Delivery person was rude.,2,No,Yes,1.3,Mumbai,Positive,Low,No,In Stock,Correct
ORD000059,CUST3664,JioMart,49:29.5,27,Dairy,557,"Not fresh, disappointed.",2,No,Yes,3.6,Lucknow,Negative,Medium,Yes,In Stock,Correct
ORD000060,CUST7065,JioMart,05:29.5,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No,4.8,Lucknow,Negative,Medium,Yes,Out of Stock,Incorrect
ORD000061,CUST6820,Swiggy Instamart,35:29.5,9,Fruits & Vegetables,586,Quick and reliable!,5,No,No,3.7,Delhi,Neutral,Medium,No,Out of Stock,Incorrect
ORD000062,CUST4432,Blinkit,52:29.5,26,Beverages,666,Delivery person was rude.,2,No,Yes,3.7,Pune,Neutral,Medium,No,In Stock,Correct
ORD000063,CUST5374,Swiggy Instamart,35:29.5,48,Snacks,61,Delivery person was rude.,2,Yes,Yes,4.6,Jaipur,Positive,Low,Yes,In Stock,Correct
ORD000064,CUST2169,Swiggy Instamart,06:29.5,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes,2.5,Bangalore,Negative,Medium,No,In Stock,Correct
ORD000065,CUST3803,Swiggy Instamart,41:29.5,19,Personal Care,1595,"Not fresh, disappointed.",2,No,Yes,1,Lucknow,Neutral,High,No,Out of Stock,Incorrect
ORD000066,CUST9751,Swiggy Instamart,11:29.5,14,Personal Care,1956,Wrong item delivered.,1,No,Yes,1.6,Chennai,Negative,High,No,In Stock,Incorrect
ORD000067,CUST5010,Swiggy Instamart,58:29.5,9,Dairy,796,Wrong item delivered.,1,No,Yes,1.5,Hyderabad,Negative,Medium,No,Out of Stock,Correct
ORD000068,CUST3677,Swiggy Instamart,17:29.5,20,Dairy,146,Excellent experience!,5,No,No,2.1,Chennai,Negative,Low,Yes,In Stock,Correct
ORD000069,CUST8573,Swiggy Instamart,34:29.5,24,Fruits & Vegetables,536,Quick and reliable!,5,No,No,1.2,Kolkata,Neutral,Medium,No,In Stock,Incorrect
ORD000082,CUST6155,Blinkit,45:29.5,36,Personal Care,1848,Good quality products.,4,No,No,3.4,Jaipur,Positive,Low,No,Out of Stock,Correct
ORD000071,CUST5422,JioMart,48:29.5,25,Dairy,641,"Not fresh, disappointed.",2,No,Yes,1.9,Ahmedabad,Neutral,Medium,No,Out of Stock,Incorrect
ORD000072,CUST4598,Swiggy Instamart,52:29.5,38,Fruits & Vegetables,341,Excellent experience!,5,No,No,4.1,Hyderabad,Negative,Low,No,In Stock,Correct
ORD000073,CUST6313,Swiggy Instamart,11:29.5,35,Dairy,425,"Fast delivery, great service!",5,No,No,2.7,Pune,Positive,Low,No,Out of Stock,Incorrect
ORD000074,CUST1916,Swiggy Instamart,30:29.5,33,Snacks,284,"Very late delivery, not happy.",2,No,Yes,4.3,Chennai,Neutral,Low,Yes,Out of Stock,Correct
ORD000075,CUST4752,Swiggy Instamart,46:29.5,28,Beverages,905,Quick and reliable!,5,No,No,3.6,Hyderabad,Negative,Medium,No,In Stock,Correct
ORD000076,CUST1525,Swiggy Instamart,21:29.5,39,Grocery,1221,Very satisfied with the service.,5,No,No,3.7,Hyderabad,Neutral,High,Yes,In Stock,Incorrect
ORD000077,CUST6168,Swiggy Instamart,11:29.5,36,Beverages,159,Items missing from order.,2,No,Yes,1.2,Hyderabad,Negative,Low,Yes,Out of Stock,Correct
ORD000078,CUST7572,JioMart,28:29.5,15,Fruits & Vegetables,122,Delivery person was rude.,2,No,Yes,1.6,Kolkata,Positive,Low,Yes,In Stock,Incorrect
ORD000079,CUST5386,JioMart,35:29.5,35,Beverages,276,Excellent experience!,5,No,No,3.3,Mumbai,Positive,Low,No,In Stock,Correct
ORD000080,CUST2084,Swiggy Instamart,15:29.5,24,Dairy,147,Very satisfied with the service.,5,No,No,4.4,Chennai,Positive,Low,No,In Stock,Incorrect
ORD000081,CUST4456,JioMart,13:29.5,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No,3.6,Kolkata,Neutral,Medium,Yes,Out of Stock,Correct
ORD002174,CUST4836,Blinkit,11:29.5,24,Personal Care,1841,Delivery person was rude.,2,No,Yes,4,Ahmedabad,Positive,High,Yes,In Stock,Correct
ORD000083,CUST4483,Swiggy Instamart,31:29.5,47,Dairy,240,Packaging could be better.,3,Yes,No,4.7,Jaipur,Neutral,Low,No,In Stock,Correct
ORD000084,CUST9179,Blinkit,32:29.5,10,Beverages,910,Very satisfied with the service.,5,No,No,1.4,Pune,Neutral,Medium,No,Out of Stock,Incorrect
ORD000085,CUST7482,Blinkit,19:29.5,33,Grocery,314,Packaging could be better.,3,No,No,1.7,Mumbai,Negative,Low,No,Out of Stock,Correct
ORD000086,CUST8517,Swiggy Instamart,50:29.5,23,Grocery,1332,"Very late delivery, not happy.",2,No,Yes,1.6,Pune,Neutral,High,No,Out of Stock,Incorrect
ORD000087,CUST3340,JioMart,38:29.5,51,Beverages,640,Wrong item delivered.,1,Yes,Yes,4.7,Jaipur,Negative,Medium,No,Out of Stock,Incorrect
ORD001688,CUST3580,Blinkit,17:29.5,43,Snacks,85,Wrong item delivered.,1,Yes,Yes,4.5,Kolkata,Negative,Low,No,In Stock,Correct
ORD000089,CUST3287,Swiggy Instamart,03:29.5,34,Personal Care,1690,"Fast delivery, great service!",5,No,No,1.3,Jaipur,Positive,High,Yes,In Stock,Incorrect
ORD004561,CUST2650,Blinkit,37:29.5,37,Personal Care,1807,"Easy to order, loved it!",5,No,No,4.8,Hyderabad,Neutral,Low,Yes,Out of Stock,Incorrect
ORD000091,CUST9830,Blinkit,18:29.5,8,Personal Care,183,Very satisfied with the service.,5,No,No,3.8,Delhi,Positive,Low,No,In Stock,Incorrect
ORD002511,CUST7932,Blinkit,51:29.5,34,Snacks,85,"Horrible experience, never ordering again.",1,No,Yes,4.7,Jaipur,Negative,Low,Yes,In Stock,Correct
ORD000093,CUST8019,Blinkit,31:29.5,9,Grocery,645,Excellent experience!,5,No,No,2.9,Lucknow,Negative,Medium,No,In Stock,Incorrect
ORD000094,CUST7543,JioMart,22:29.5,22,Grocery,280,"Fast delivery, great service!",5,No,No,5,Chennai,Negative,Low,Yes,In Stock,Incorrect
ORD004129,CUST4617,Blinkit,00:29.5,49,Personal Care,1781,Quick and reliable!,5,Yes,No,3.8,Bangalore,Neutral,Medium,Yes,Out of Stock,Incorrect
ORD004818,CUST1549,Blinkit,27:29.5,24,Personal Care,1775,"Fast delivery, great service!",5,No,No,1.3,Jaipur,Positive,Low,No,Out of Stock,Correct
ORD000450,CUST4262,Blinkit,54:29.5,32,Personal Care,1756,Delivery person was rude.,2,No,Yes,3.3,Hyderabad,Neutral,Low,Yes,In Stock,Correct
ORD000098,CUST9348,JioMart,31:29.5,29,Fruits & Vegetables,160,"Easy to order, loved it!",5,No,No,4.9,Kolkata,Neutral,Low,No,In Stock,Correct
ORD000916,CUST8692,Blinkit,34:29.5,33,Personal Care,1743,Delivery person was rude.,2,No,Yes,2.2,Chennai,Positive,Low,No,In Stock,Incorrect
ORD000100,CUST2489,Blinkit,52:29.5,19,Fruits & Vegetables,427,Quick and reliable!,5,No,No,4.8,Lucknow,Positive,Low,No,In Stock,Incorrect
ORD000101,CUST1771,JioMart,42:29.5,39,Beverages,160,Very satisfied with the service.,5,No,No,4.8,Lucknow,Negative,Low,Yes,In Stock,Incorrect
ORD000102,CUST2796,JioMart,52:29.5,5,Personal Care,377,Items missing from order.,2,No,Yes,4.3,Pune,Neutral,Low,Yes,Out of Stock,Correct
ORD000103,CUST3504,JioMart,00:29.5,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes,3.8,Delhi,Positive,Medium,No,Out of Stock,Correct
ORD004513,CUST4271,Blinkit,58:29.5,21,Personal Care,1737,Quick and reliable!,5,No,No,3.4,Mumbai,Positive,Low,Yes,In Stock,Incorrect
ORD000105,CUST7916,JioMart,11:29.5,28,Beverages,391,Items missing from order.,2,No,Yes,4,Kolkata,Positive,Low,Yes,In Stock,Incorrect
ORD000106,CUST2040,JioMart,34:29.5,33,Snacks,51,Delivery person was rude.,2,No,Yes,3.2,Lucknow,Positive,Low,Yes,In Stock,Incorrect
ORD000987,CUST7484,Blinkit,48:29.5,25,Personal Care,1711,"Fast delivery, great service!",5,No,No,4.7,Ahmedabad,Negative,Low,Yes,In Stock,Correct
ORD000108,CUST7252,JioMart,51:29.5,29,Grocery,1015,Excellent experience!,5,No,No,1.4,Jaipur,Positive,High,Yes,Out of Stock,Incorrect
ORD001484,CUST6727,Blinkit,31:29.5,21,Personal Care,1711,"Fast delivery, great service!",5,No,No,4.8,Kolkata,Neutral,Medium,No,Out of Stock,Incorrect
ORD000110,CUST9669,Swiggy Instamart,27:29.5,14,Dairy,600,"Horrible experience, never ordering again.",1,No,Yes,1.7,Hyderabad,Positive,Medium,Yes,Out of Stock,Incorrect
ORD000111,CUST5119,JioMart,10:29.5,20,Personal Care,727,Delivery person was rude.,2,No,Yes,4.3,Pune,Positive,Medium,Yes,Out of Stock,Correct
ORD000112,CUST1188,Swiggy Instamart,55:29.5,34,Beverages,624,"Very late delivery, not happy.",2,No,Yes,3.1,Pune,Positive,Medium,Yes,Out of Stock,Correct
ORD000113,CUST2876,Blinkit,55:29.5,26,Fruits & Vegetables,252,Very satisfied with the service.,5,No,No,4.8,Pune,Positive,Low,Yes,Out of Stock,Correct
ORD000114,CUST9797,JioMart,19:29.5,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes,4.2,Kolkata,Positive,Medium,Yes,In Stock,Correct
ORD003060,CUST8591,Blinkit,28:29.5,19,Fruits & Vegetables,89,Quick and reliable!,5,No,No,2.5,Chennai,Negative,Medium,No,Out of Stock,Correct
ORD000116,CUST6573,Swiggy Instamart,42:29.5,30,Beverages,859,Quick and reliable!,5,No,No,4.7,Chennai,Neutral,Medium,Yes,In Stock,Incorrect
ORD000117,CUST2827,Blinkit,08:29.5,12,Dairy,599,"Fast delivery, great service!",5,No,No,1.1,Jaipur,Negative,Medium,Yes,Out of Stock,Correct
ORD000118,CUST5808,JioMart,39:29.5,21,Beverages,502,Items missing from order.,2,No,Yes,3.7,Delhi,Neutral,Medium,Yes,In Stock,Correct
ORD000119,CUST8123,JioMart,02:29.5,9,Personal Care,931,Items missing from order.,2,No,Yes,2.8,Bangalore,Negative,Medium,No,In Stock,Incorrect
ORD000120,CUST3591,Swiggy Instamart,37:29.5,36,Dairy,198,"Fast delivery, great service!",5,No,No,2.2,Pune,Negative,Low,No,In Stock,Incorrect
ORD000642,CUST6813,Blinkit,35:29.5,21,Snacks,91,Quick and reliable!,5,No,No,1.3,Lucknow,Neutral,Low,Yes,In Stock,Correct
ORD000122,CUST1053,JioMart,51:29.5,28,Dairy,509,"Very late delivery, not happy.",2,No,Yes,4.2,Delhi,Neutral,Medium,Yes,Out of Stock,Correct
ORD000123,CUST5315,Swiggy Instamart,04:29.5,27,Dairy,436,Very satisfied with the service.,5,No,No,3.8,Jaipur,Neutral,Low,No,In Stock,Correct
ORD000124,CUST9201,JioMart,54:29.5,41,Grocery,718,Very satisfied with the service.,5,Yes,No,4.6,Delhi,Positive,Medium,No,In Stock,Incorrect
ORD000125,CUST3927,JioMart,14:29.5,30,Snacks,418,Packaging could be better.,3,No,No,4,Kolkata,Positive,Low,No,In Stock,Correct
ORD004377,CUST5155,Blinkit,32:29.5,28,Fruits & Vegetables,92,Packaging could be better.,3,No,No,1.2,Chennai,Negative,Low,Yes,In Stock,Incorrect
ORD000127,CUST2743,JioMart,01:29.5,20,Fruits & Vegetables,230,"Easy to order, loved it!",5,No,No,4.7,Lucknow,Negative,Low,No,Out of Stock,Incorrect
ORD004460,CUST7618,Blinkit,26:29.5,38,Snacks,96,Very satisfied with the service.,5,No,No,4.8,Bangalore,Neutral,Medium,Yes,Out of Stock,Incorrect
ORD000129,CUST9317,JioMart,43:29.5,18,Snacks,70,Excellent experience!,5,No,No,3,Ahmedabad,Neutral,Low,Yes,In Stock,Correct
ORD000130,CUST4258,Swiggy Instamart,26:29.5,17,Fruits & Vegetables,596,Quick and reliable!,5,No,No,3.7,Delhi,Neutral,Medium,No,In Stock,Correct
ORD000131,CUST3504,JioMart,07:29.5,24,Beverages,734,"Horrible experience, never ordering again.",1,No,Yes,2.6,Hyderabad,Positive,Medium,Yes,Out of Stock,Incorrect
ORD000858,CUST9337,Blinkit,53:29.5,40,Fruits & Vegetables,97,"Very late delivery, not happy.",2,No,Yes,2.5,Chennai,Positive,High,No,In Stock,Correct
ORD003824,CUST6178,Blinkit,13:29.5,38,Beverages,101,Delivery person was rude.,2,No,Yes,2.8,Bangalore,Neutral,Medium,No,Out of Stock,Correct
ORD000134,CUST9837,Swiggy Instamart,24:29.5,29,Fruits & Vegetables,303,"Fast delivery, great service!",5,No,No,4.7,Mumbai,Neutral,Low,Yes,Out of Stock,Correct
ORD000135,CUST9689,JioMart,07:29.5,33,Dairy,472,"Not fresh, disappointed.",2,No,Yes,2.7,Kolkata,Negative,Low,Yes,Out of Stock,Correct
ORD000136,CUST1009,JioMart,57:29.5,32,Beverages,987,"Fast delivery, great service!",5,No,No,1.1,Mumbai,Neutral,Medium,Yes,In Stock,Incorrect
ORD000137,CUST6310,Swiggy Instamart,30:29.5,27,Dairy,207,"Very late delivery, not happy.",2,No,Yes,1.6,Delhi,Neutral,Low,No,Out of Stock,Correct
ORD000138,CUST9005,JioMart,42:29.5,20,Beverages,548,Packaging could be better.,3,No,No,2.8,Hyderabad,Negative,Medium,No,Out of Stock,Correct
ORD000139,CUST1319,JioMart,02:29.5,25,Snacks,220,Delivery person was rude.,2,No,Yes,4.2,Lucknow,Neutral,Low,No,Out of Stock,Incorrect
ORD000558,CUST8449,Blinkit,40:29.5,35,Personal Care,1702,"Horrible experience, never ordering again.",1,No,Yes,4,Mumbai,Positive,Low,Yes,Out of Stock,Correct
ORD000141,CUST6947,JioMart,20:29.5,15,Dairy,517,"Horrible experience, never ordering again.",1,No,Yes,3.7,Kolkata,Positive,Medium,Yes,In Stock,Correct
ORD000142,CUST6038,JioMart,21:29.5,27,Dairy,244,Good quality products.,4,No,No,4.8,Mumbai,Negative,Low,No,Out of Stock,Correct
ORD000143,CUST4923,Swiggy Instamart,27:29.5,31,Dairy,304,Excellent experience!,5,No,No,2.2,Ahmedabad,Neutral,Low,Yes,Out of Stock,Incorrect
ORD000144,CUST1949,Swiggy Instamart,41:29.5,24,Beverages,899,Quick and reliable!,5,No,No,1.3,Ahmedabad,Negative,Medium,No,Out of Stock,Incorrect
ORD000145,CUST4946,Blinkit,11:29.5,42,Personal Care,959,Delivery person was rude.,2,Yes,Yes,2.1,Hyderabad,Neutral,Medium,Yes,In Stock,Incorrect
ORD000146,CUST2290,JioMart,01:29.5,32,Snacks,155,"Very late delivery, not happy.",2,No,Yes,2.7,Kolkata,Neutral,Low,Yes,In Stock,Correct
ORD000147,CUST2403,JioMart,08:29.5,22,Fruits & Vegetables,131,"Very late delivery, not happy.",2,No,Yes,1.7,Chennai,Neutral,Low,No,In Stock,Correct
ORD000148,CUST8962,JioMart,13:29.5,25,Grocery,330,Delivery person was rude.,2,No,Yes,1.4,Delhi,Positive,Low,Yes,Out of Stock,Incorrect
ORD000149,CUST2133,Blinkit,15:29.5,42,Fruits & Vegetables,617,Excellent experience!,5,Yes,No,4.1,Pune,Neutral,Medium,No,In Stock,Correct
ORD003203,CUST3420,Blinkit,28:29.5,21,Personal Care,1699,Delivery person was rude.,2,No,Yes,1.9,Pune,Neutral,Low,Yes,In Stock,Incorrect
ORD000151,CUST3060,Swiggy Instamart,30:29.5,21,Beverages,106,Excellent experience!,5,No,No,3.7,Pune,Neutral,Low,No,In Stock,Correct
ORD003577,CUST8709,Blinkit,15:29.5,32,Personal Care,1677,"Easy to order, loved it!",5,No,No,1.6,Chennai,Neutral,High,Yes,Out of Stock,Correct
ORD000153,CUST8787,JioMart,25:29.5,30,Dairy,610,Quick and reliable!,5,No,No,3.6,Lucknow,Neutral,Medium,Yes,Out of Stock,Correct
ORD000154,CUST3705,JioMart,56:29.5,32,Personal Care,696,"Very late delivery, not happy.",2,No,Yes,4.3,Kolkata,Neutral,Medium,No,In Stock,Correct
ORD003310,CUST1893,Blinkit,30:29.5,15,Personal Care,1650,Delivery person was rude.,2,No,Yes,3,Kolkata,Negative,Low,Yes,In Stock,Incorrect
ORD000156,CUST9645,JioMart,11:29.5,22,Grocery,583,Good quality products.,4,No,No,3.8,Jaipur,Neutral,Medium,Yes,Out of Stock,Incorrect
ORD000157,CUST7932,JioMart,25:29.5,45,Dairy,486,"Easy to order, loved it!",5,Yes,No,3.2,Lucknow,Positive,Low,No,In Stock,Correct
ORD004779,CUST4046,Blinkit,21:29.5,28,Fruits & Vegetables,101,Packaging could be better.,3,No,No,2,Mumbai,Neutral,Medium,No,In Stock,Correct
ORD003424,CUST7102,Blinkit,34:29.5,33,Beverages,102,Delivery person was rude.,2,No,Yes,4.1,Mumbai,Negative,Medium,No,Out of Stock,Incorrect
ORD000160,CUST4295,JioMart,25:29.5,38,Grocery,1450,Wrong item delivered.,1,No,Yes,2.8,Hyderabad,Neutral,High,No,In Stock,Incorrect
ORD000161,CUST6107,JioMart,57:29.5,49,Grocery,379,Quick and reliable!,5,Yes,No,4.3,Jaipur,Positive,Low,No,Out of Stock,Incorrect
ORD000162,CUST7537,JioMart,06:29.5,34,Dairy,786,"Horrible experience, never ordering again.",1,No,Yes,5,Pune,Negative,Medium,Yes,In Stock,Incorrect
ORD000163,CUST7118,Swiggy Instamart,17:29.5,47,Dairy,412,"Very late delivery, not happy.",2,Yes,Yes,2,Delhi,Positive,Low,Yes,Out of Stock,Incorrect
